com_id,com_nam,lin_ima,com_ele_sta,com_ele_dis,rep_typ,rec_dat,cov_sta_dat,cov_end_dat,qua_con,sem_ann_con
"C00304709","ADAM SMITH FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_201601299004767936+0","WA","09","QUARTERLY YEAR END / SEMI-ANN","2016-01-29","2015-07-01","2015-12-31","$33,900.00","$33,900.00"
"C00304709","ADAM SMITH FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_201510159002918562+0","WA","09","OCTOBER QUARTERLY","2015-10-15","2015-07-01","2015-09-30","$33,900.00",
"C00304709","ADAM SMITH FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_14960566280+0","WA","09","QUARTERLY YEAR END / SEMI-ANN","2014-03-27","2013-07-01","2013-12-31","$18,200.00","$18,200.00"
"C00304709","ADAM SMITH FOR CONGRESS COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_13941780266+0","WA","09","OCTOBER QUARTERLY","2013-10-14","2013-07-01","2013-09-30","$18,200.00",
"C00454272","ALASKA MILITARY VETERANS POLITICAL ACTION COMMITTEE","http://docquery.fec.gov/cgi-bin/fecimg/?_11030603214+0","","","QUARTERLY YEAR END / SEMI-ANN","2011-05-05","2009-01-01","2010-01-01",,
"C00515767","ALASKANS4DOUG","http://docquery.fec.gov/cgi-bin/fecimg/?_12952671383+0","","","JULY QUARTERLY / SEMI-ANNUAL","2012-08-19","2012-04-01","2012-06-30",,
"C00547083","ALISON FOR KENTUCKY","http://docquery.fec.gov/cgi-bin/fecimg/?_15020126647+0","KY","","QUARTERLY YEAR END / SEMI-ANN","2015-04-10","2014-10-01","2014-12-31","$27,947.00","$62,461.00"
"C00547083","ALISON FOR KENTUCKY","http://docquery.fec.gov/cgi-bin/fecimg/?_14020890001+0","KY","","OCTOBER QUARTERLY","2014-10-15","2014-07-01","2014-09-30","$34,514.00",
"C00547083","ALISON FOR KENTUCKY","http://docquery.fec.gov/cgi-bin/fecimg/?_14020491591+0","KY","","JULY QUARTERLY","2014-07-15","2014-04-01","2014-06-30","$19,084.00","$53,672.00"
"C00547083","ALISON FOR KENTUCKY","http://docquery.fec.gov/cgi-bin/fecimg/?_14020230001+0","KY","","APRIL QUARTERLY","2014-04-15","2014-01-01","2014-03-31","$34,588.00",
